aa_eleicao;cd_tipo_eleicao;nm_tipo_eleicao;cd_eleicao;ds_eleicao;dt_eleicao;sg_uf;cd_municipio;nm_municipio;nr_zona;nm_local_votacao;ds_local_votacao_endereco;nr_turno;ds_cargo;nr_votavel;nm_votavel;sq_candidato;qt_aptos;qt_comparecimento;qt_abstencoes;qt_votos_nominais;qt_votos;dt_carga;qt_registros
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;3;ESCOLA CLASSE N 41;EQNL 13/15 AREA ESPECIAL 01;1;Governador;50;CLEMENTINA ARAÚJO BAGNO DA SILVA;70001601117;4497;3883;614;3606;26;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;4;ESCOLA CLASSE  215 DE SANTA MARIA;CL 215 LOTE A;1;Governador;96;VOTO NULO;-1;4361;3649;712;3284;192;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;9;ESCOLA CLASSE VILA ESTRUTURAL;PRACA CENTRAL;1;Governador;96;VOTO NULO;-1;4241;3328;913;2973;217;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;18;CENTRO EDUCACIONAL SÃO FRANCISCO - CHICÃO;QUADRA 17, LOTE 100, ÁREA ESPECIAL;1;Governador;95;VOTO BRANCO;-1;3227;2598;629;2311;143;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;21;CENTRO DE ENSINO FUNDAMENTAL 519 DE SAMAMBAIA;QR 519 AREA ESPECIAL 1 SAMAMBAIA SUL;1;Governador;14;ELZIOVAN MATIAS MORENO LIMA;70001667057;2098;1714;384;1545;74;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;2;ESCOLA CLASSE GRANJA DO TORTO;AE S/N GRANJA DO TORTO;1;Governador;15;IBANEIS ROCHA BARROS JÚNIOR;70001651044;2317;1933;384;1749;819;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;5;INSTITUTO EDUCACIONAL SANTO ELIAS;QUADRA 11 AREA RESERVADA 3;1;Governador;16;ROBSON RAYMUNDO DA SILVA;70001611377;2088;1731;357;1596;2;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;3;CENTRO DE EDUCAÇÃO INFANTIL 03;QNM 36 CONJUNTO B-2 LOTE 60 - VILA MUTIRAO;1;Governador;95;VOTO BRANCO;-1;2672;2119;553;1944;77;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;16;ESCOLA CLASSE BUCANHAO;ZR-DF-240-ACESSO P/VSJ, KM 3,7;1;Governador;43;LEANDRO ANTÔNIO GRASS PEIXOTO;70001597108;69;50;19;45;12;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;6;CENTRO EDUCACIONAL VALE DO AMANHECER;AE 03 LOTE 01-VILA PACHECO;1;Governador;55;PAULO OCTÁVIO ALVES PEREIRA;70001723172;3609;2768;841;2489;215;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;14;CENTRO EDUCACIONAL LEONARDO DA VINCI;SGAN 914 CONJUNTO I;1;Governador;45;IZALCI LUCAS FERREIRA;70001651176;10547;8862;1685;8344;282;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;11;ESCOLA CLASSE 06;SHCES Q 807,  ÁREA ESPECIAL, CRUZEIRO NOVO;1;Governador;95;VOTO BRANCO;-1;4471;3741;730;3493;113;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;16;CENTRO DE ENSINO MEDIO N, 01;QD, 04 AE N, 02;1;Governador;14;ELZIOVAN MATIAS MORENO LIMA;70001667057;2695;2221;474;2014;103;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;546;Eleições Gerais Estaduais 2022;2022-10-02 00:00:00;DF;97012;BRASÍLIA;21;CENTRO DE ENSINO FUNDAMENTAL 113 DO RECANTO DAS EMAS;QD, 113 CONJ 8-A LOTE 01 AE;1;Governador;29;RENAN ROSA DE ARRUDA;70001676409;3259;2633;626;2372;1;2022-11-01 16:05:25;1
